Date,Open,High,Low,Close,,,
1/4/2000,18937.449219,19595.830078,18068.099609,19539.699219,,,
2/1/2000,19536.679688,20046.140625,19266.960938,19959.519531,,,
3/1/2000,20030.080078,20809.789062,18765.880859,20337.320312,,,
4/3/2000,20327.789062,20833.210938,17926.429688,17973.699219,,,
5/1/2000,17979.25,18586.160156,15870.25,16332.450195,,,
6/1/2000,16320.080078,17511.320312,16289.919922,17411.050781,,,
7/3/2000,17451.650391,17661.109375,15394.709961,15727.490234,,,
8/1/2000,15784.599609,17210.800781,15557.330078,16861.259766,,,
9/1/2000,16915.039062,17018.519531,15621.879883,15747.259766,,,
10/2/2000,15735.709961,16192.780273,14333.160156,14539.599609,,,
11/1/2000,14557.450195,15602.389648,14172.639648,14648.509766,,,
12/1/2000,14600.530273,15273.400391,13182.509766,13785.69043,,,
1/4/2001,13898.089844,14186.620117,13123.80957,13843.549805,,,
2/1/2001,13740.919922,13862.290039,12784.169922,12883.540039,,,
3/1/2001,12811.519531,13867.580078,11433.879883,12999.700195,,,
4/2/2001,13057.650391,14099.490234,12579.55957,13934.320312,,,
5/1/2001,14096.320312,14556.110352,13216.570312,13262.139648,,,
6/1/2001,13365.080078,13510.700195,12511.660156,12969.049805,,,
7/2/2001,12929.660156,12929.660156,11531.679688,11860.769531,,,
8/1/2001,11920.639648,12407.370117,10684.160156,10713.509766,,,
9/3/2001,10729.599609,10812.889648,9382.950195,9774.679688,,,
10/1/2001,9766.75,11052.009766,9604.089844,10366.339844,,,
11/1/2001,10430.589844,11186.75,9955.089844,10697.44043,,,
12/3/2001,10694.650391,11052.509766,10170.900391,10542.620117,,,
1/4/2002,10631.00,10979.919922,9843.120117,9997.799805,,,
2/1/2002,10026.959961,10798.669922,9420.849609,10587.830078,,,
3/1/2002,10641.360352,12034.040039,10540.30957,11024.94043,,,
4/1/2002,11106.070312,11812.990234,10896.120117,11492.540039,,,
5/1/2002,11540.089844,12081.429688,11250.860352,11763.700195,,,
6/3/2002,11804.040039,11905.160156,10060.719727,10621.839844,,,
7/1/2002,10655.00,11050.69043,9547.849609,9877.94043,,,
8/1/2002,9912.589844,10162.299805,9439.410156,9619.299805,,,
9/2/2002,9564.900391,9884.599609,8969.259766,9383.290039,,,
10/1/2002,9289.530273,9293.860352,8197.219727,8640.480469,,,
11/1/2002,8651.669922,9294.099609,8246.530273,9215.55957,,,
12/2/2002,9208.610352,9320.110352,8256.519531,8578.950195,,,
1/6/2003,8669.889648,8829.05957,8237.030273,8339.94043,,,
2/3/2003,8285.549805,8821.30957,8253.759766,8363.040039,,,
3/3/2003,8397.150391,8509.429688,7824.819824,7972.709961,,,
4/1/2003,7907.129883,8249.980469,7603.759766,7831.419922,,,
5/1/2003,7804.029785,8461.730469,7745.689941,8424.509766,,,
6/2/2003,8490.219727,9188.950195,8488.889648,9083.110352,,,
7/1/2003,9097.610352,10070.110352,9078.740234,9563.209961,,,
8/1/2003,9646.660156,10415.530273,9224.049805,10343.549805,,,
9/1/2003,10399.530273,11160.19043,10148.360352,10219.049805,,,
10/1/2003,10232.570312,11238.629883,10173.540039,10559.589844,,,
11/4/2003,10693.660156,10869.349609,9614.599609,10100.570312,,,
12/1/2003,10006.129883,10681.280273,9859.00,10676.639648,,,
1/5/2004,10787.830078,11193.639648,10665.150391,10783.610352,,,
2/2/2004,10784.929688,11069.280273,10299.429688,11041.919922,,,
3/1/2004,11112.679688,11869.00,11045.94043,11715.389648,,,
4/1/2004,11756.160156,12195.660156,11623.650391,11761.790039,,,
5/6/2004,11777.44043,11785.259766,10489.839844,11236.370117,,,
6/1/2004,11204.69043,11887.950195,10963.55957,11858.870117,,,
7/1/2004,11933.330078,11988.120117,11018.790039,11325.780273,,,
8/2/2004,11274.450195,11279.709961,10545.889648,11081.790039,,,
9/1/2004,11104.849609,11357.849609,10737.780273,10823.570312,,,
10/1/2004,10893.19043,11410.400391,10575.230469,10771.419922,,,
11/1/2004,10731.019531,11268.80957,10690.950195,10899.25,,,
12/1/2004,10790.450195,11500.950195,10721.589844,11488.759766,,,
1/4/2005,11458.269531,11580.69043,11212.629883,11387.589844,,,
2/1/2005,11422.019531,11754.900391,11271.040039,11740.599609,,,
3/1/2005,11734.139648,11975.459961,11506.849609,11668.950195,,,
4/1/2005,11590.450195,11911.900391,10770.580078,11008.900391,,,
5/2/2005,10954.209961,11302.519531,10788.589844,11276.589844,,,
6/1/2005,11220.94043,11594.570312,11148.360352,11584.009766,,,
7/1/2005,11573.370117,11913.50,11540.929688,11899.599609,,,
8/1/2005,11907.419922,12612.160156,11614.709961,12413.599609,,,
9/1/2005,12501.429688,13678.44043,12498.400391,13574.299805,,,
10/3/2005,13566.200195,13783.599609,12996.290039,13606.50,,,
11/1/2005,13718.209961,15013.240234,13706.330078,14872.150391,,,
12/1/2005,14914.75,16445.560547,14880.179688,16111.429688,,,
1/4/2006,16294.650391,16754.599609,15059.519531,16649.820312,,,
2/1/2006,16594.900391,16777.369141,15389.580078,16205.429688,,,
3/1/2006,16026.820312,17125.640625,15553.139648,17059.660156,,,
4/3/2006,17127.609375,17563.369141,16750.50,16906.230469,,,
5/1/2006,16929.830078,17375.25,15442.530273,15467.330078,,,
6/1/2006,15603.25,15789.30957,14045.530273,15505.179688,,,
7/3/2006,15573.349609,15710.389648,14437.240234,15456.80957,,,
8/1/2006,15387.519531,16244.839844,15154.05957,16140.759766,,,
9/1/2006,16072.80957,16414.939453,15513.870117,16127.580078,,,
10/2/2006,16169.00,16901.529297,16028.320312,16399.390625,,,
11/1/2006,16338.719727,16512.509766,15615.55957,16274.330078,,,
12/1/2006,16313.019531,17301.689453,16185.919922,17225.830078,,,
1/4/2007,17322.50,17617.640625,16758.460938,17383.419922,,,
2/1/2007,17377.029297,18300.390625,17199.660156,17604.119141,,,
3/1/2007,17542.230469,17558.039062,16532.910156,17287.650391,,,
